Date,Company/Brand,Stage,Amount($),Year,Founded,HeadQuarter,Sector,Founders,Investor
2018-01-01,Vebbler,Seed,5800000.0,2018,2016,Bangalore,Media/Entertainment,,
2018-01-01,StockEdge,Seed,1100000.0,2018,2016,Kolkata,Marketing,,
2018-01-02,Max Healthcare,Corporate Round,5800000.0,2018,2016,Delhi,Automotive,,
2018-01-03,Creator’s Gurukul,Angel,5800000.0,2018,2016,Gurugram,Other,,
2018-01-03,Innov8 Coworking,Seed,4000000.0,2018,2016,Delhi,Real Estate,,
2018-01-04,HousingMan.com,Seed,103000000.0,2018,2016,Bangalore,Real Estate,,
2018-01-04,Food Memories,Seed,5800000.0,2018,2016,Ahmedabad,Consumables,,
2018-01-05,1Crowd,Angel,3500000.0,2018,2016,Mumbai,Finance,,
2018-01-05,Avenues Payments India Pvt. Ltd.,Corporate Round,1300000.0,2018,2016,Mumbai,Technology,,
2018-01-06,Ontrack Technologies Pvt. Ltd,Seed,5800000.0,2018,2016,Bangalore,Consumer Services,,
2018-01-07,Bombay Shaving Company,Series A,5800000.0,2018,2016,Delhi,Consumer Services,,
2018-01-07,Lucideus,Venture - Series Unknown,5000000.0,2018,2016,Delhi,Consumer Services,,
2018-01-08,Gegadyne Energy,Angel,5800000.0,2018,2016,Mumbai,Energy,,
2018-01-09,BlueJack,Seed,64000000.0,2018,2016,Delhi,Automotive,,
2018-01-10,Eunimart,Seed,5800000.0,2018,2016,Hyderabad,Consumer Services,,
2018-01-10,HealthAssure,Seed,1000000.0,2018,2016,Mumbai,Automotive,,
2018-01-10,Zomato,Seed,210000000.0,2018,2016,Gurugram,Consumables,,
2018-01-11,Pooltoo,Seed,5800000.0,2018,2016,Delhi,Logistics,,
2018-01-12,Aye Finance,Seed,72000000.0,2018,2016,Gurugram,Finance,,
2018-01-13,Shop101,Series B,11000000.0,2018,2016,Mumbai,E-Commerce,,
2018-01-14,Mobile Premier League (MPL),Series A,5000000.0,2018,2016,Bangalore,Gaming,,
2018-01-14,Notesgen,Seed,12500000.0,2018,2016,Delhi,Education,,
2018-01-15,Ambee,Angel,5800000.0,2018,2016,Bangalore,Automotive,,
2018-01-16,Nivesh.com,Seed,30000000.0,2018,2016,Noida,Marketing,,
2018-01-17,Taru Naturals,Seed,5800000.0,2018,2016,Mumbai,Agriculture,,
2018-01-17,FeedMyPockets,Seed,44000000.0,2018,2016,Bangalore,Marketing,,
2018-01-17,Poshmiles Online Solutions Private Limited,Seed,5800000.0,2018,2016,Bangalore,Logistics,,
2018-01-19,Carcrew,Seed,2000000.0,2018,2016,Mumbai,Automotive,,
2018-01-19,NicheAI,Angel,5800000.0,2018,2016,Hyderabad,Technology,,
2018-01-19,dishq,Seed,400000.0,2018,2016,Bangalore,Technology,,
2018-01-21,Wow Venue,Venture - Series Unknown,1500000.0,2018,2016,Mumbai,Other,,
2018-01-21,MY CHIRAAG CAB,Seed,1000000.0,2018,2016,Jaipur,Logistics,,
2018-01-22,Mamaearth,Series A,4000000.0,2018,2016,Gurugram,Consumer Services,,
2018-01-23,Meesho,Series C,50000000.0,2018,2016,Bangalore,Media/Entertainment,,
2018-01-24,Blackbuck,Series D,2029600000.0,2018,2016,Bangalore,Logistics,,
2018-01-25,edureka!,Series A,2000000.0,2018,2016,Bangalore,Wellness/Beauty,,
2018-01-25,FarmersFZ,Seed,5800000.0,2018,2016,Kochi,Agriculture,,
2018-01-27,WheelsEMI,Series B,14000000.0,2018,2016,Pune,Automotive,,
2018-01-27,Ummeed Housing Finance Private Limited,Series C,600000000.0,2018,2016,Haryana,Finance,,
2018-01-28,CivilCops,Pre-Seed,100000.0,2018,2016,Gurugram,Technology,,
2018-01-28,Traveo Soft Pvt. Ltd.,Seed,1200000.0,2018,2016,Bangalore,Logistics,,
2018-01-30,Hospals,Seed,1500000.0,2018,2016,Delhi,Logistics,,
2018-01-31,DataTrained,Seed,120000000.0,2018,2016,Bangalore,Education,,
2018-01-31,TrustCheckr,Angel,100000.0,2018,2016,Bangalore,Technology,,
2018-01-31,Design Cafe,Series B,2000000000.0,2018,2016,Bangalore,Real Estate,,
2018-01-31,Scholify,Pre-Seed,5800000.0,2018,2016,Bangalore,Technology,,
2018-01-31,UpCyclersLab,Seed,5800000.0,2018,2016,Mumbai,Consumer Services,,
2018-02-01,Shuttl,Seed,1000000.0,2018,2016,Gurugram,Logistics,,
2018-02-02,Chrysalis (EZ Vidya),Seed,5800000.0,2018,2016,Chennai,Education,,
2018-02-02,Snapmint,Seed,5800000.0,2018,2016,Mumbai,Consumer Services,,
2018-02-02,Faclon Labs,Seed,5800000.0,2018,2016,Mumbai,Technology,,
2018-02-02,Nutrisattva (Proliva),Angel,5800000.0,2018,2016,Anand,Consumables,,
2018-02-03,Elemential,Seed,1000000.0,2018,2016,Mumbai,Technology,,
2018-02-04,Urban Ladder,Seed,5600000.0,2018,2016,Bangalore,Real Estate,,
2018-02-05,DailyNinja,Series A,5800000.0,2018,2016,Bangalore,Technology,,
2018-02-05,Sequretek,Venture - Series Unknown,3700000.0,2018,2016,Mumbai,Technology,,
2018-02-07,ZAMROO,Seed,5800000.0,2018,2016,India,E-Commerce,,
2018-02-07,BYJU’S,Seed,540000000.0,2018,2016,Bangalore,Education,,
2018-02-08,NiYO Solutions,Series A,13200000.0,2018,2016,Bangalore,FinTech,,
2018-02-09,VTION,Seed,19200000.0,2018,2016,Gurugram,Media/Entertainment,,
2018-02-10,Adiuvo Diagnostics,Seed,5800000.0,2018,2016,Chennai,Healthcare,,
2018-02-11,Cube,Series A,140000000.0,2018,2016,Mumbai,FinTech,,
2018-02-11,Generico,Series A,5800000.0,2018,2016,Mumbai,Automotive,,
2018-02-12,Sleepy Owl Coffee,Seed,35000000.0,2018,2016,Delhi,Consumables,,
2018-02-14,Fitternity,Seed,2000000.0,2018,2016,Mumbai,Automotive,,
2018-02-14,The Social Hook,Seed,5800000.0,2018,2016,Bangalore,Marketing,,
2018-02-14,Creditas Solutions,Seed,5800000.0,2018,2016,Gurugram,Finance,,
2018-02-16,Vizzbee,Pre-Seed,20000.0,2018,2016,Bhopal,Consumer Services,,
